fold,human_gene,target_gene,h_chrom,h_strand,h_gc,h_rep,t_chrom,t_strand,t_gc,t_rep
train,ENSG00000197520,ENSMMUG00000058808,chr1,+,0.4100,0.0000,1,+,0.3910,0.9380
train,ENSG00000174990,ENSMMUG00000041867,chr16,-,0.5370,0.0000,20,-,0.4950,0.4750
train,ENSG00000173193,ENSMMUG00000022569,chr3,+,0.5200,0.0000,2,-,0.5280,0.3680
test,ENSG00000167118,ENSMMUG00000018612,chr9,+,0.5390,0.0000,15,-,0.5340,0.6730
train,ENSG00000138078,ENSMMUG00000006311,chr2,-,0.5910,0.0000,13,+,0.6060,0.0200
train,ENSG00000132676,ENSMMUG00000018080,chr1,+,0.4580,0.0000,1,-,0.4370,0.2300
test,ENSG00000165102,ENSMMUG00000047028,chr8,+,0.5690,0.0000,8,+,0.5820,0.3370
train,ENSG00000186480,ENSMMUG00000062591,chr7,+,0.6930,0.0000,3,+,0.7070,0.2620
train,ENSG00000243420,ENSMMUG00000042476,chr12,-,0.3720,0.0000,11,-,0.3650,0.4250
test,ENSG00000154582,ENSMMUG00000005155,chr8,-,0.4790,0.0000,8,-,0.5360,0.0080
train,ENSG00000213020,ENSMMUG00000006472,chr19,-,0.5420,0.0000,19,-,0.5190,0.5260
train,ENSG00000162616,ENSMMUG00000050425,chr1,+,0.5090,0.0000,1,-,0.4830,0.0230
train,ENSG00000128159,ENSMMUG00000014100,chr22,-,0.6900,0.0000,10,+,0.6840,0.1950
train,ENSG00000137720,ENSMMUG00000053898,chr11,+,0.4720,0.0000,14,+,0.5130,0.0220
train,ENSG00000221043,ENSMMUG00000024350,chr5,-,0.3650,0.0000,6,-,0.3440,0.9860
train,ENSG00000206614,ENSMMUG00000024171,chr5,+,0.3780,0.0000,6,+,0.3820,0.7850
train,ENSG00000100372,ENSMMUG00000008106,chr22,-,0.4930,0.0000,10,+,0.4930,0.2260
test,ENSG00000253602,ENSMMUG00000041901,chr8,-,0.5860,0.0000,8,-,0.5880,0.3820
train,ENSG00000100938,ENSMMUG00000012455,chr14,+,0.5710,0.0000,7,+,0.5680,0.0360
val,ENSG00000166272,ENSMMUG00000052989,chr10,+,0.4520,0.0000,9,+,0.6680,0.0690
train,ENSG00000100359,ENSMMUG00000008135,chr22,+,0.5180,0.0000,10,-,0.4490,0.4530
train,ENSG00000238832,ENSMMUG00000036250,chr7,+,0.3810,0.0000,3,+,0.3890,0.3610
train,ENSG00000101938,ENSMMUG00000016666,chrX,-,0.5870,0.0000,X,-,0.4770,0.2380
train,ENSG00000137310,ENSMMUG00000015682,chr6,+,0.5800,0.0000,4,-,0.5860,0.0830
test,ENSG00000243136,ENSMMUG00000048375,chr9,+,0.4850,0.0000,15,-,0.4690,0.9330
train,ENSG00000207075,ENSMMUG00000026217,chr4,-,0.4030,0.0000,5,-,0.4120,0.0000
train,ENSG00000154174,ENSMMUG00000020025,chr3,-,0.5380,0.0000,2,+,0.4500,0.1480
test,ENSG00000014164,ENSMMUG00000058733,chr8,-,0.5810,0.0000,8,-,0.5840,0.5750
train,ENSG00000137760,ENSMMUG00000005437,chr11,-,0.4670,0.0000,14,-,0.4530,0.4870
train,ENSG00000100030,ENSMMUG00000012524,chr22,-,0.5870,0.0000,10,+,0.6160,0.2970
train,ENSG00000171634,ENSMMUG00000009734,chr17,+,0.6110,0.0000,16,+,0.6750,0.2230
train,ENSG00000101361,ENSMMUG00000013888,chr20,+,0.5810,0.0000,10,-,0.6070,0.1250
test,ENSG00000196642,ENSMMUG00000005042,chr9,+,0.6730,0.0000,15,-,0.6530,0.3840
train,ENSG00000164007,ENSMMUG00000057076,chr1,-,0.6050,0.0000,1,+,0.6310,0.0270
train,ENSG00000163331,ENSMMUG00000052818,chr2,+,0.3780,0.0000,12,+,0.3250,0.8080
train,ENSG00000143198,ENSMMUG00000015948,chr1,+,0.5890,0.0000,1,+,0.5970,0.0510
train,ENSG00000147113,ENSMMUG00000041157,chrX,-,0.5230,0.0000,X,-,0.5230,0.0000
train,ENSG00000100926,ENSMMUG00000012493,chr14,-,0.5650,0.0000,7,-,0.4790,0.0000
train,ENSG00000181885,ENSMMUG00000010551,chr17,-,0.4740,0.0000,16,-,0.6470,0.0830
train,ENSG00000106211,ENSMMUG00000056744,chr7,+,0.5400,0.0000,3,-,0.5510,0.5250
train,ENSG00000164690,ENSMMUG00000062128,chr7,-,0.5080,0.0000,3,-,0.5090,0.0500
train,ENSG00000131475,ENSMMUG00000002149,chr17,+,0.4900,0.0000,16,+,0.4840,0.5760
test,ENSG00000204612,ENSMMUG00000021769,chr9,+,0.6400,0.0000,15,+,0.6440,0.0000
train,ENSG00000171596,ENSMMUG00000039169,chr2,-,0.6300,0.0000,12,-,0.6380,0.0490
train,ENSG00000091483,ENSMMUG00000005667,chr1,-,0.3450,0.0000,1,+,0.3620,0.1070
val,ENSG00000122859,ENSMMUG00000008956,chr10,-,0.5850,0.0000,9,+,0.6110,0.1630
train,ENSG00000163736,ENSMMUG00000042371,chr4,-,0.3440,0.0000,5,+,0.3250,0.1690
train,ENSG00000088986,ENSMMUG00000001194,chr12,+,0.7040,0.0000,11,+,0.5560,0.2660
train,ENSG00000206639,ENSMMUG00000063919,chrX,+,0.3090,0.0000,X,+,0.3190,0.3230
train,ENSG00000140577,ENSMMUG00000008886,chr15,+,0.6670,0.0000,7,+,0.4090,0.8670
train,ENSG00000201570,ENSMMUG00000028312,chr3,+,0.3890,0.0000,2,+,0.3710,0.9740
train,ENSG00000100221,ENSMMUG00000021083,chr22,-,0.5240,0.0000,10,+,0.7180,0.0370
train,ENSG00000229474,ENSMMUG00000014294,chr15,-,0.5980,0.0000,7,-,0.4840,0.0070
train,ENSG00000212518,ENSMMUG00000034274,chr14,+,0.3250,0.0000,7,+,0.3930,0.4850
train,ENSG00000140030,ENSMMUG00000017260,chr14,+,0.3170,0.0000,7,+,0.3260,0.3030
train,ENSG00000134987,ENSMMUG00000004670,chr5,+,0.4310,0.0000,6,+,0.5500,0.0460
train,ENSG00000164508,ENSMMUG00000039988,chr6,-,0.4850,0.0000,4,+,0.4570,0.1340
train,ENSG00000099991,ENSMMUG00000020992,chr22,+,0.4510,0.0000,10,+,0.4660,0.2130
test,ENSG00000119321,ENSMMUG00000000173,chr9,-,0.5570,0.0000,15,+,0.5930,0.2180
train,ENSG00000124145,ENSMMUG00000048424,chr20,-,0.5230,0.0000,10,-,0.5220,0.7290
train,ENSG00000274640,ENSMMUG00000063211,chr15,+,0.3700,0.0000,7,-,0.3930,0.4350
train,ENSG00000186283,ENSMMUG00000006261,chr1,+,0.5440,0.0000,1,+,0.5350,0.0000
train,ENSG00000172269,ENSMMUG00000014872,chr11,-,0.5290,0.0000,14,-,0.5070,0.0800
train,ENSG00000141391,ENSMMUG00000050745,chr18,+,0.5620,0.0000,18,+,0.5060,0.5900
train,ENSG00000271798,ENSMMUG00000026454,chr20,+,0.5100,0.0000,10,-,0.4970,0.0070
train,ENSG00000132952,ENSMMUG00000007597,chr13,+,0.5360,0.0000,17,+,0.6100,0.0000
train,ENSG00000113211,ENSMMUG00000062723,chr5,+,0.3510,0.0000,6,+,0.3650,0.0000
train,ENSG00000169991,ENSMMUG00000004754,chr1,-,0.6810,0.0000,1,+,0.6790,0.0110
train,ENSG00000175643,ENSMMUG00000056849,chr16,+,0.5750,0.0000,20,+,0.4220,0.5750
test,ENSG00000159167,ENSMMUG00000046186,chr8,-,0.4170,0.0000,8,-,0.4120,0.0950
train,ENSG00000273604,ENSMMUG00000013378,chr17,-,0.5220,0.0000,16,-,0.6060,0.1050
test,ENSG00000155099,ENSMMUG00000051364,chr8,-,0.4470,0.0000,8,-,0.4090,0.3090
train,ENSG00000137674,ENSMMUG00000011013,chr11,-,0.3770,0.0000,14,-,0.3690,0.2540
train,ENSG00000200206,ENSMMUG00000025585,chr15,-,0.3490,0.0000,7,-,0.3380,0.9910
train,ENSG00000206693,ENSMMUG00000024169,chrX,+,0.5260,0.0000,X,+,0.5220,0.0000
train,ENSG00000131408,ENSMMUG00000023418,chr19,+,0.7060,0.0000,19,+,0.5390,0.3750
test,ENSG00000106993,ENSMMUG00000000141,chr9,+,0.4410,0.0000,15,-,0.4540,0.1620
train,ENSG00000154611,ENSMMUG00000018066,chr18,+,0.4570,0.0000,18,-,0.3820,0.2760
train,ENSG00000182473,ENSMMUG00000008885,chr17,-,0.7010,0.0000,16,-,0.5800,0.3160
train,ENSG00000160145,ENSMMUG00000003851,chr3,+,0.6630,0.0000,2,-,0.7350,0.1980
train,ENSG00000200799,ENSMMUG00000025063,chr6,+,0.3590,0.0000,4,+,0.3540,1.0000
train,ENSG00000207800,ENSMMUG00000027068,chrX,-,0.3660,0.0000,X,-,0.3660,0.6080
train,ENSG00000122176,ENSMMUG00000021642,chr1,-,0.4810,0.0000,1,-,0.4260,0.5920
val,ENSG00000148734,ENSMMUG00000005367,chr10,-,0.4920,0.0000,9,+,0.6100,0.0670
train,ENSG00000183395,ENSMMUG00000031601,chr12,-,0.3010,0.0000,11,-,0.3170,0.2220
train,ENSG00000214253,ENSMMUG00000052148,chr7,-,0.5420,0.0000,3,-,0.5330,0.6860
train,ENSG00000176896,ENSMMUG00000022616,chrX,+,0.4630,0.0000,X,+,0.4640,0.4140
train,ENSG00000184983,ENSMMUG00000013060,chr22,-,0.5610,0.0000,10,+,0.6090,0.1120
train,ENSG00000206711,ENSMMUG00000026445,chr4,-,0.3110,0.0000,5,-,0.4000,0.7200
train,ENSG00000188784,ENSMMUG00000053964,chr1,-,0.5630,0.0000,1,+,0.5630,0.3600
val,ENSG00000187122,ENSMMUG00000010428,chr10,-,0.6060,0.0000,9,-,0.6710,0.1630
train,ENSG00000067955,ENSMMUG00000058815,chr16,+,0.5140,0.0000,20,+,0.5680,0.4030
train,ENSG00000196900,ENSMMUG00000056480,chr5,+,0.4610,0.0000,6,+,0.4650,0.7800
train,ENSG00000206974,ENSMMUG00000053826,chr6,+,0.3160,0.0000,4,+,0.3140,0.0100
train,ENSG00000070444,ENSMMUG00000022004,chr17,-,0.6690,0.0000,16,-,0.6640,0.0610
train,ENSG00000128604,ENSMMUG00000018478,chr7,+,0.5100,0.0000,3,+,0.5230,0.4240
test,ENSG00000207698,ENSMMUG00000027124,chr9,-,0.3400,0.0000,15,+,0.3400,0.0160
train,ENSG00000277846,ENSMMUG00000026160,chr11,-,0.3980,0.0000,14,+,0.3910,0.0280
val,ENSG00000057608,ENSMMUG00000013182,chr10,-,0.5000,0.0000,9,-,0.5880,0.0270
train,ENSG00000164185,ENSMMUG00000021006,chr5,+,0.4480,0.0000,6,+,0.3780,0.0510
test,ENSG00000215114,ENSMMUG00000001100,chr8,+,0.4790,0.0000,8,+,0.5210,0.4450
train,ENSG00000096060,ENSMMUG00000011520,chr6,-,0.5880,0.0000,4,+,0.5830,0.3880
train,ENSG00000162399,ENSMMUG00000005735,chr1,+,0.5230,0.0000,1,-,0.5270,0.3950
train,ENSG00000206768,ENSMMUG00000060758,chr14,-,0.4280,0.0000,7,-,0.4160,0.5260
train,ENSG00000138614,ENSMMUG00000008095,chr15,-,0.5460,0.0000,7,-,0.5570,0.2120
train,ENSG00000243560,ENSMMUG00000042336,chr19,-,0.5460,0.0000,19,-,0.5450,0.4820
train,ENSG00000149599,ENSMMUG00000000970,chr20,-,0.5650,0.0000,10,-,0.6380,0.3530
train,ENSG00000099960,ENSMMUG00000063154,chr22,-,0.5370,0.0000,10,-,0.5960,0.4540
test,ENSG00000086061,ENSMMUG00000007740,chr9,+,0.5760,0.0000,15,-,0.5630,0.0950
train,ENSG00000163125,ENSMMUG00000007303,chr1,+,0.4670,0.0000,1,-,0.5740,0.0680
train,ENSG00000101421,ENSMMUG00000008084,chr20,+,0.4740,0.0000,10,+,0.4630,0.5940
test,ENSG00000183117,ENSMMUG00000023475,chr8,-,0.4860,0.0000,8,-,0.6280,0.2360
train,ENSG00000057294,ENSMMUG00000000595,chr12,-,0.5830,0.0000,11,-,0.5960,0.1850
test,ENSG00000170619,ENSMMUG00000011549,chr8,-,0.4650,0.0000,8,-,0.4690,0.9250
train,ENSG00000183304,ENSMMUG00000047671,chrX,-,0.5230,0.0000,X,-,0.5190,0.3390
train,ENSG00000165917,ENSMMUG00000009498,chr11,-,0.5800,0.0000,14,+,0.5830,0.2070
train,ENSG00000183019,ENSMMUG00000012535,chr19,+,0.5510,0.0000,19,+,0.5360,0.4050
train,ENSG00000074054,ENSMMUG00000007499,chr2,-,0.5500,0.0000,12,+,0.4560,0.4090
train,ENSG00000167842,ENSMMUG00000046195,chr17,+,0.5430,0.0000,16,+,0.5900,0.0100
train,ENSG00000201129,ENSMMUG00000060773,chr1,+,0.4180,0.0000,1,-,0.4070,0.3060
train,ENSG00000112319,ENSMMUG00000005745,chr6,+,0.3680,0.0000,4,+,0.6500,0.1380
train,ENSG00000165966,ENSMMUG00000002641,chr12,+,0.4760,0.0000,11,+,0.4970,0.0820
train,ENSG00000170561,ENSMMUG00000005802,chr5,-,0.6890,0.0000,6,-,0.7390,0.2660
train,ENSG00000065057,ENSMMUG00000002807,chr16,-,0.6320,0.0000,20,-,0.6510,0.0000
train,ENSG00000196228,ENSMMUG00000002589,chr2,+,0.4300,0.0000,13,+,0.5240,0.1110
train,ENSG00000206582,ENSMMUG00000062074,chr20,-,0.4550,0.0000,10,-,0.4480,0.3600
train,ENSG00000157895,ENSMMUG00000039520,chr12,-,0.4980,0.0000,11,-,0.4370,0.6070
train,ENSG00000181541,ENSMMUG00000039441,chr4,+,0.4400,0.0000,5,+,0.3780,0.0590
train,ENSG00000166821,ENSMMUG00000051701,chr15,-,0.5210,0.0000,7,-,0.5190,0.2950
train,ENSG00000207174,ENSMMUG00000053417,chr15,+,0.5050,0.0000,7,-,0.5050,0.0000
train,ENSG00000151353,ENSMMUG00000042598,chr2,-,0.4430,0.0000,13,+,0.4430,0.0850
train,ENSG00000145982,ENSMMUG00000016352,chr6,+,0.5860,0.0000,4,-,0.5680,0.0840
train,ENSG00000000005,ENSMMUG00000008212,chrX,+,0.3780,0.0000,X,+,0.3710,0.7800
train,ENSG00000103510,ENSMMUG00000002030,chr16,+,0.4980,0.0000,20,+,0.5350,0.6050
train,ENSG00000138801,ENSMMUG00000019907,chr4,-,0.5910,0.0000,5,-,0.5630,0.3030
train,ENSG00000164778,ENSMMUG00000061717,chr7,+,0.7350,0.0000,3,+,0.7620,0.3410
train,ENSG00000120253,ENSMMUG00000047824,chr6,-,0.6520,0.0000,4,-,0.4510,0.3340
train,ENSG00000138381,ENSMMUG00000014310,chr2,+,0.3770,0.0000,12,+,0.3960,0.3980
train,ENSG00000206973,ENSMMUG00000050489,chr2,+,0.3880,0.0000,13,-,0.4700,0.3300
train,ENSG00000181544,ENSMMUG00000017839,chrX,-,0.5540,0.0000,X,-,0.5680,0.0070
train,ENSG00000100485,ENSMMUG00000007464,chr14,-,0.6120,0.0000,7,-,0.6980,0.1450
test,ENSG00000165272,ENSMMUG00000003314,chr9,-,0.6040,0.0000,15,+,0.6010,0.1380
train,ENSG00000202273,ENSMMUG00000027504,chr7,-,0.4140,0.0000,3,+,0.4050,0.4140
train,ENSG00000252550,ENSMMUG00000025305,chr13,-,0.3600,0.0000,17,-,0.3380,0.9820
test,ENSG00000154330,ENSMMUG00000008230,chr9,+,0.4350,0.0000,15,+,0.5900,0.0970
train,ENSG00000203485,ENSMMUG00000016552,chr14,+,0.6350,0.0000,7,+,0.6880,0.0670
train,ENSG00000149357,ENSMMUG00000021282,chr11,-,0.5370,0.0000,14,-,0.4730,0.2640
train,ENSG00000152684,ENSMMUG00000039101,chr5,+,0.4900,0.0000,6,+,0.4870,0.0420
train,ENSG00000138443,ENSMMUG00000000312,chr2,+,0.5180,0.0000,12,+,0.5200,0.1700
train,ENSG00000204256,ENSMMUG00000023138,chr6,+,0.5550,0.0000,4,-,0.6510,0.0230
train,ENSG00000105737,ENSMMUG00000017431,chr19,-,0.5820,0.0000,19,-,0.5760,0.1720
train,ENSG00000181036,ENSMMUG00000011335,chr1,+,0.4730,0.0000,1,-,0.5010,0.3190
test,ENSG00000207101,ENSMMUG00000057151,chr8,+,0.4200,0.0000,8,+,0.4410,0.8910
train,ENSG00000108924,ENSMMUG00000022627,chr17,+,0.5560,0.0000,16,-,0.5650,0.3090
train,ENSG00000079246,ENSMMUG00000001927,chr2,+,0.4190,0.0000,12,+,0.4580,0.2950
train,ENSG00000135932,ENSMMUG00000009793,chr2,+,0.5400,0.0000,12,+,0.5230,0.5520
train,ENSG00000054598,ENSMMUG00000005778,chr6,+,0.7360,0.0000,4,-,0.7610,0.2790
train,ENSG00000243817,ENSMMUG00000039906,chr14,+,0.3630,0.0000,7,+,0.3470,0.9570
train,ENSG00000128536,ENSMMUG00000008189,chr7,+,0.5640,0.0000,3,+,0.4290,0.2830
train,ENSG00000207980,ENSMMUG00000026872,chr19,-,0.5810,0.0000,19,-,0.5800,0.3910
test,ENSG00000184672,ENSMMUG00000007115,chr8,+,0.4990,0.0000,8,+,0.5340,0.0870
train,ENSG00000137496,ENSMMUG00000007340,chr11,+,0.5540,0.0000,14,+,0.4080,0.5940
train,ENSG00000170445,ENSMMUG00000004481,chr5,-,0.4600,0.0000,6,-,0.4970,0.3100
train,ENSG00000120832,ENSMMUG00000022278,chr12,-,0.4800,0.0000,11,-,0.4760,0.2380
train,ENSG00000108840,ENSMMUG00000006806,chr17,-,0.5440,0.0000,16,-,0.5400,0.3710
train,ENSG00000143179,ENSMMUG00000053859,chr1,+,0.4780,0.0000,1,+,0.5580,0.1360
train,ENSG00000198712,ENSMMUG00000065380,chrM,+,0.4220,0.0000,MT,+,0.4240,0.0000
test,ENSG00000200570,ENSMMUG00000027716,chr9,+,0.3060,0.0000,15,+,0.3020,0.8160
train,ENSG00000156453,ENSMMUG00000008710,chr5,-,0.5470,0.0000,6,-,0.6880,0.2570
train,ENSG00000188186,ENSMMUG00000018401,chr7,+,0.5510,0.0000,3,+,0.4370,0.7530
train,ENSG00000104884,ENSMMUG00000014419,chr19,-,0.4940,0.0000,19,-,0.4450,0.5770
train,ENSG00000145191,ENSMMUG00000006562,chr3,+,0.5230,0.0000,2,+,0.5230,0.2340
train,ENSG00000206754,ENSMMUG00000024902,chr6,+,0.5440,0.0000,4,+,0.5400,0.0000
train,ENSG00000138685,ENSMMUG00000007419,chr4,+,0.4860,0.0000,5,+,0.5110,0.2500
train,ENSG00000169194,ENSMMUG00000003131,chr5,+,0.5880,0.0000,6,+,0.5010,0.1500
train,ENSG00000131697,ENSMMUG00000022888,chr1,-,0.6700,0.0000,1,+,0.5010,0.1290
train,ENSG00000252548,ENSMMUG00000037700,chr4,-,0.4000,0.0000,5,-,0.4020,0.4420
train,ENSG00000201574,ENSMMUG00000024640,chr2,+,0.3990,0.0000,12,+,0.3990,0.3820
train,ENSG00000198934,ENSMMUG00000049351,chrX,+,0.4410,0.0000,X,+,0.4750,0.0290
train,ENSG00000116138,ENSMMUG00000032244,chr1,+,0.4650,0.0000,1,-,0.3830,0.3000
train,ENSG00000168530,ENSMMUG00000010519,chr2,-,0.3720,0.0000,12,-,0.3780,0.0520
train,ENSG00000241128,ENSMMUG00000059455,chr1,-,0.3200,0.0000,1,+,0.3020,0.1110
train,ENSG00000200754,ENSMMUG00000028086,chr21,-,0.4080,0.0000,3,+,0.4340,0.3740
val,ENSG00000185745,ENSMMUG00000017533,chr10,+,0.4390,0.0000,9,+,0.4060,0.0000
train,ENSG00000134443,ENSMMUG00000007584,chr18,+,0.5780,0.0000,18,-,0.5800,0.1550
train,ENSG00000139800,ENSMMUG00000014821,chr13,-,0.5660,0.0000,17,-,0.5630,0.0000
train,ENSG00000156603,ENSMMUG00000002562,chr11,-,0.5020,0.0000,14,+,0.5010,0.1060
train,ENSG00000147255,ENSMMUG00000011152,chrX,-,0.5100,0.0000,X,-,0.4170,0.5060
train,ENSG00000174358,ENSMMUG00000010935,chr5,+,0.6570,0.0000,6,+,0.6550,0.0000
train,ENSG00000202428,ENSMMUG00000055244,chr3,-,0.4120,0.0000,2,-,0.4320,0.9140
train,ENSG00000075914,ENSMMUG00000019130,chr3,+,0.4290,0.0000,2,+,0.6380,0.0440
val,ENSG00000060339,ENSMMUG00000016652,chr10,+,0.4700,0.0000,9,-,0.4580,0.6500
train,ENSG00000158321,ENSMMUG00000017675,chr7,+,0.7240,0.0000,3,+,0.6090,0.2680
train,ENSG00000111644,ENSMMUG00000016983,chr12,-,0.5270,0.0000,11,-,0.5290,0.8390
train,ENSG00000174527,ENSMMUG00000042728,chr12,+,0.4270,0.0000,11,+,0.4390,0.7330
train,ENSG00000114446,ENSMMUG00000008786,chr3,-,0.4450,0.0000,2,+,0.4600,0.0070
train,ENSG00000172115,ENSMMUG00000051205,chr7,-,0.5060,0.0000,3,+,0.5500,0.0000
train,ENSG00000182223,ENSMMUG00000006704,chr4,+,0.4990,0.0000,5,+,0.4040,0.0590
