fold,human_gene,target_gene,h_chrom,h_strand,h_gc,h_rep,t_chrom,t_strand,t_gc,t_rep
train,ENSG00000100938,ENSMMUG00000012455,chr14,+,0.5710,0.0000,7,+,0.5680,0.0360
val,ENSG00000166272,ENSMMUG00000052989,chr10,+,0.4520,0.0000,9,+,0.6680,0.0690
train,ENSG00000137310,ENSMMUG00000015682,chr6,+,0.5800,0.0000,4,-,0.5860,0.0830
train,ENSG00000207075,ENSMMUG00000026217,chr4,-,0.4030,0.0000,5,-,0.4120,0.0000
train,ENSG00000154174,ENSMMUG00000020025,chr3,-,0.5380,0.0000,2,+,0.4500,0.1480
train,ENSG00000101361,ENSMMUG00000013888,chr20,+,0.5810,0.0000,10,-,0.6070,0.1250
train,ENSG00000164007,ENSMMUG00000057076,chr1,-,0.6050,0.0000,1,+,0.6310,0.0270
train,ENSG00000143198,ENSMMUG00000015948,chr1,+,0.5890,0.0000,1,+,0.5970,0.0510
train,ENSG00000147113,ENSMMUG00000041157,chrX,-,0.5230,0.0000,X,-,0.5230,0.0000
train,ENSG00000100926,ENSMMUG00000012493,chr14,-,0.5650,0.0000,7,-,0.4790,0.0000
train,ENSG00000181885,ENSMMUG00000010551,chr17,-,0.4740,0.0000,16,-,0.6470,0.0830
train,ENSG00000164690,ENSMMUG00000062128,chr7,-,0.5080,0.0000,3,-,0.5090,0.0500
test,ENSG00000204612,ENSMMUG00000021769,chr9,+,0.6400,0.0000,15,+,0.6440,0.0000
train,ENSG00000171596,ENSMMUG00000039169,chr2,-,0.6300,0.0000,12,-,0.6380,0.0490
train,ENSG00000091483,ENSMMUG00000005667,chr1,-,0.3450,0.0000,1,+,0.3620,0.1070
val,ENSG00000122859,ENSMMUG00000008956,chr10,-,0.5850,0.0000,9,+,0.6110,0.1630
train,ENSG00000163736,ENSMMUG00000042371,chr4,-,0.3440,0.0000,5,+,0.3250,0.1690
train,ENSG00000100221,ENSMMUG00000021083,chr22,-,0.5240,0.0000,10,+,0.7180,0.0370
train,ENSG00000229474,ENSMMUG00000014294,chr15,-,0.5980,0.0000,7,-,0.4840,0.0070
train,ENSG00000134987,ENSMMUG00000004670,chr5,+,0.4310,0.0000,6,+,0.5500,0.0460
train,ENSG00000164508,ENSMMUG00000039988,chr6,-,0.4850,0.0000,4,+,0.4570,0.1340
train,ENSG00000186283,ENSMMUG00000006261,chr1,+,0.5440,0.0000,1,+,0.5350,0.0000
train,ENSG00000172269,ENSMMUG00000014872,chr11,-,0.5290,0.0000,14,-,0.5070,0.0800
train,ENSG00000271798,ENSMMUG00000026454,chr20,+,0.5100,0.0000,10,-,0.4970,0.0070
train,ENSG00000132952,ENSMMUG00000007597,chr13,+,0.5360,0.0000,17,+,0.6100,0.0000
train,ENSG00000113211,ENSMMUG00000062723,chr5,+,0.3510,0.0000,6,+,0.3650,0.0000
train,ENSG00000169991,ENSMMUG00000004754,chr1,-,0.6810,0.0000,1,+,0.6790,0.0110
test,ENSG00000159167,ENSMMUG00000046186,chr8,-,0.4170,0.0000,8,-,0.4120,0.0950
train,ENSG00000273604,ENSMMUG00000013378,chr17,-,0.5220,0.0000,16,-,0.6060,0.1050
train,ENSG00000206693,ENSMMUG00000024169,chrX,+,0.5260,0.0000,X,+,0.5220,0.0000
test,ENSG00000106993,ENSMMUG00000000141,chr9,+,0.4410,0.0000,15,-,0.4540,0.1620
train,ENSG00000160145,ENSMMUG00000003851,chr3,+,0.6630,0.0000,2,-,0.7350,0.1980
val,ENSG00000148734,ENSMMUG00000005367,chr10,-,0.4920,0.0000,9,+,0.6100,0.0670
train,ENSG00000184983,ENSMMUG00000013060,chr22,-,0.5610,0.0000,10,+,0.6090,0.1120
val,ENSG00000187122,ENSMMUG00000010428,chr10,-,0.6060,0.0000,9,-,0.6710,0.1630
train,ENSG00000206974,ENSMMUG00000053826,chr6,+,0.3160,0.0000,4,+,0.3140,0.0100
train,ENSG00000070444,ENSMMUG00000022004,chr17,-,0.6690,0.0000,16,-,0.6640,0.0610
test,ENSG00000207698,ENSMMUG00000027124,chr9,-,0.3400,0.0000,15,+,0.3400,0.0160
train,ENSG00000277846,ENSMMUG00000026160,chr11,-,0.3980,0.0000,14,+,0.3910,0.0280
val,ENSG00000057608,ENSMMUG00000013182,chr10,-,0.5000,0.0000,9,-,0.5880,0.0270
train,ENSG00000164185,ENSMMUG00000021006,chr5,+,0.4480,0.0000,6,+,0.3780,0.0510
test,ENSG00000086061,ENSMMUG00000007740,chr9,+,0.5760,0.0000,15,-,0.5630,0.0950
train,ENSG00000163125,ENSMMUG00000007303,chr1,+,0.4670,0.0000,1,-,0.5740,0.0680
train,ENSG00000057294,ENSMMUG00000000595,chr12,-,0.5830,0.0000,11,-,0.5960,0.1850
train,ENSG00000167842,ENSMMUG00000046195,chr17,+,0.5430,0.0000,16,+,0.5900,0.0100
train,ENSG00000112319,ENSMMUG00000005745,chr6,+,0.3680,0.0000,4,+,0.6500,0.1380
train,ENSG00000165966,ENSMMUG00000002641,chr12,+,0.4760,0.0000,11,+,0.4970,0.0820
train,ENSG00000065057,ENSMMUG00000002807,chr16,-,0.6320,0.0000,20,-,0.6510,0.0000
train,ENSG00000196228,ENSMMUG00000002589,chr2,+,0.4300,0.0000,13,+,0.5240,0.1110
train,ENSG00000181541,ENSMMUG00000039441,chr4,+,0.4400,0.0000,5,+,0.3780,0.0590
train,ENSG00000207174,ENSMMUG00000053417,chr15,+,0.5050,0.0000,7,-,0.5050,0.0000
train,ENSG00000151353,ENSMMUG00000042598,chr2,-,0.4430,0.0000,13,+,0.4430,0.0850
train,ENSG00000145982,ENSMMUG00000016352,chr6,+,0.5860,0.0000,4,-,0.5680,0.0840
train,ENSG00000181544,ENSMMUG00000017839,chrX,-,0.5540,0.0000,X,-,0.5680,0.0070
train,ENSG00000100485,ENSMMUG00000007464,chr14,-,0.6120,0.0000,7,-,0.6980,0.1450
test,ENSG00000165272,ENSMMUG00000003314,chr9,-,0.6040,0.0000,15,+,0.6010,0.1380
test,ENSG00000154330,ENSMMUG00000008230,chr9,+,0.4350,0.0000,15,+,0.5900,0.0970
train,ENSG00000203485,ENSMMUG00000016552,chr14,+,0.6350,0.0000,7,+,0.6880,0.0670
train,ENSG00000152684,ENSMMUG00000039101,chr5,+,0.4900,0.0000,6,+,0.4870,0.0420
train,ENSG00000138443,ENSMMUG00000000312,chr2,+,0.5180,0.0000,12,+,0.5200,0.1700
train,ENSG00000204256,ENSMMUG00000023138,chr6,+,0.5550,0.0000,4,-,0.6510,0.0230
train,ENSG00000105737,ENSMMUG00000017431,chr19,-,0.5820,0.0000,19,-,0.5760,0.1720
test,ENSG00000184672,ENSMMUG00000007115,chr8,+,0.4990,0.0000,8,+,0.5340,0.0870
train,ENSG00000143179,ENSMMUG00000053859,chr1,+,0.4780,0.0000,1,+,0.5580,0.1360
train,ENSG00000198712,ENSMMUG00000065380,chrM,+,0.4220,0.0000,MT,+,0.4240,0.0000
train,ENSG00000206754,ENSMMUG00000024902,chr6,+,0.5440,0.0000,4,+,0.5400,0.0000
train,ENSG00000169194,ENSMMUG00000003131,chr5,+,0.5880,0.0000,6,+,0.5010,0.1500
train,ENSG00000131697,ENSMMUG00000022888,chr1,-,0.6700,0.0000,1,+,0.5010,0.1290
train,ENSG00000198934,ENSMMUG00000049351,chrX,+,0.4410,0.0000,X,+,0.4750,0.0290
train,ENSG00000168530,ENSMMUG00000010519,chr2,-,0.3720,0.0000,12,-,0.3780,0.0520
train,ENSG00000241128,ENSMMUG00000059455,chr1,-,0.3200,0.0000,1,+,0.3020,0.1110
val,ENSG00000185745,ENSMMUG00000017533,chr10,+,0.4390,0.0000,9,+,0.4060,0.0000
train,ENSG00000134443,ENSMMUG00000007584,chr18,+,0.5780,0.0000,18,-,0.5800,0.1550
train,ENSG00000139800,ENSMMUG00000014821,chr13,-,0.5660,0.0000,17,-,0.5630,0.0000
train,ENSG00000156603,ENSMMUG00000002562,chr11,-,0.5020,0.0000,14,+,0.5010,0.1060
train,ENSG00000174358,ENSMMUG00000010935,chr5,+,0.6570,0.0000,6,+,0.6550,0.0000
train,ENSG00000075914,ENSMMUG00000019130,chr3,+,0.4290,0.0000,2,+,0.6380,0.0440
train,ENSG00000114446,ENSMMUG00000008786,chr3,-,0.4450,0.0000,2,+,0.4600,0.0070
train,ENSG00000172115,ENSMMUG00000051205,chr7,-,0.5060,0.0000,3,+,0.5500,0.0000
train,ENSG00000182223,ENSMMUG00000006704,chr4,+,0.4990,0.0000,5,+,0.4040,0.0590
train,ENSG00000125831,ENSMMUG00000022393,chr20,-,0.5750,0.0000,10,+,0.5700,0.1130
train,ENSG00000175697,ENSMMUG00000001981,chr3,-,0.5310,0.0000,2,+,0.3790,0.0990
train,ENSG00000129675,ENSMMUG00000013768,chrX,-,0.4290,0.0000,X,-,0.4420,0.0440
test,ENSG00000134013,ENSMMUG00000050549,chr8,-,0.4100,0.0000,8,-,0.5800,0.0870
train,ENSG00000134595,ENSMMUG00000013179,chrX,-,0.6130,0.0000,X,-,0.6230,0.0710
train,ENSG00000124818,ENSMMUG00000013751,chr6,+,0.3400,0.0000,4,-,0.4170,0.1770
train,ENSG00000173852,ENSMMUG00000009865,chr7,-,0.4310,0.0000,3,+,0.5760,0.0170
train,ENSG00000168769,ENSMMUG00000017831,chr4,+,0.3870,0.0000,5,+,0.3500,0.1140
train,ENSG00000118276,ENSMMUG00000016674,chr18,-,0.4330,0.0000,18,+,0.5290,0.0000
train,ENSG00000000419,ENSMMUG00000002759,chr20,-,0.5920,0.0000,10,-,0.5740,0.0000
test,ENSG00000147604,ENSMMUG00000005141,chr8,-,0.4030,0.0000,8,-,0.6280,0.0880
train,ENSG00000143633,ENSMMUG00000005803,chr1,-,0.5410,0.0000,1,+,0.5450,0.0070
train,ENSG00000134107,ENSMMUG00000056699,chr3,+,0.7110,0.0000,2,+,0.7150,0.0750
train,ENSG00000143632,ENSMMUG00000022086,chr1,-,0.6530,0.0000,1,+,0.6560,0.0070
val,ENSG00000170324,ENSMMUG00000004056,chr10,-,0.5090,0.0000,9,+,0.4970,0.1990
train,ENSG00000140400,ENSMMUG00000009279,chr15,-,0.4660,0.0000,7,-,0.4760,0.0170
train,ENSG00000151247,ENSMMUG00000011066,chr4,-,0.5200,0.0000,5,-,0.5280,0.2000
train,ENSG00000184307,ENSMMUG00000001946,chr3,+,0.5200,0.0000,2,-,0.7290,0.1740
train,ENSG00000201965,ENSMMUG00000026385,chr3,-,0.5810,0.0000,2,-,0.5840,0.0880
train,ENSG00000104946,ENSMMUG00000011626,chr19,+,0.5710,0.0000,19,+,0.5850,0.0200
test,ENSG00000119457,ENSMMUG00000000568,chr9,-,0.6040,0.0000,15,+,0.6280,0.0000
train,ENSG00000169248,ENSMMUG00000053130,chr4,-,0.2880,0.0000,5,+,0.3930,0.1970
train,ENSG00000160392,ENSMMUG00000008946,chr19,-,0.5220,0.0000,19,-,0.5550,0.1890
train,ENSG00000272474,ENSMMUG00000026414,chr14,+,0.3200,0.0000,7,+,0.3250,0.0700
train,ENSG00000182040,ENSMMUG00000054593,chr17,-,0.6730,0.0000,16,-,0.6570,0.0200
train,ENSG00000172867,ENSMMUG00000002305,chr12,-,0.4500,0.0000,11,-,0.4440,0.0290
train,ENSG00000180914,ENSMMUG00000009703,chr3,-,0.4240,0.0000,2,-,0.4120,0.0980
train,ENSG00000075884,ENSMMUG00000006528,chr2,+,0.3630,0.0000,12,+,0.4180,0.0120
train,ENSG00000124942,ENSMMUG00000022301,chr11,-,0.5750,0.0000,14,+,0.6020,0.0000
train,ENSG00000198604,ENSMMUG00000058073,chr14,-,0.3010,0.0000,7,-,0.6750,0.0920
train,ENSG00000084234,ENSMMUG00000018029,chr11,+,0.4290,0.0000,14,+,0.6620,0.1390
train,ENSG00000101438,ENSMMUG00000003376,chr20,+,0.6850,0.0000,10,+,0.6670,0.0380
train,ENSG00000168878,ENSMMUG00000017818,chr2,-,0.5170,0.0000,13,+,0.5570,0.0750
train,ENSG00000080572,ENSMMUG00000023174,chrX,+,0.5640,0.0000,X,+,0.5650,0.0080
train,ENSG00000200215,ENSMMUG00000065191,chr14,+,0.3430,0.0000,7,+,0.3250,0.0420
train,ENSG00000127922,ENSMMUG00000004127,chr7,-,0.3700,0.0000,3,+,0.3420,0.1910
train,ENSG00000064692,ENSMMUG00000009997,chr5,+,0.4370,0.0000,6,+,0.6380,0.1910
train,ENSG00000199075,ENSMMUG00000026954,chr3,+,0.4790,0.0000,2,+,0.4750,0.1690
train,ENSG00000196277,ENSMMUG00000011231,chr3,+,0.5250,0.0000,2,+,0.6420,0.1570
train,ENSG00000144596,ENSMMUG00000006342,chr3,-,0.5610,0.0000,2,-,0.5780,0.1910
train,ENSG00000144488,ENSMMUG00000018486,chr2,+,0.5910,0.0000,12,+,0.6160,0.0170
train,ENSG00000100968,ENSMMUG00000003370,chr14,+,0.3620,0.0000,7,+,0.6110,0.1410
train,ENSG00000140505,ENSMMUG00000021832,chr15,+,0.4710,0.0000,7,+,0.5260,0.1940
train,ENSG00000144741,ENSMMUG00000001529,chr3,+,0.3450,0.0000,2,+,0.4160,0.1720
train,ENSG00000166368,ENSMMUG00000017135,chr11,-,0.3490,0.0000,14,+,0.3470,0.0080
test,ENSG00000147485,ENSMMUG00000002781,chr8,-,0.3940,0.0000,8,-,0.4250,0.0630
train,ENSG00000173597,ENSMMUG00000062115,chr4,-,0.3260,0.0000,5,+,0.3700,0.1960
train,ENSG00000160791,ENSMMUG00000055383,chr3,+,0.3950,0.0000,2,+,0.4030,0.1350
train,ENSG00000168411,ENSMMUG00000008375,chr16,-,0.4720,0.0000,20,-,0.4690,0.0180
train,ENSG00000039123,ENSMMUG00000010379,chr5,+,0.5800,0.0000,6,+,0.5440,0.0400
train,ENSG00000163431,ENSMMUG00000001923,chr1,-,0.5120,0.0000,1,-,0.5000,0.0900
train,ENSG00000114107,ENSMMUG00000007760,chr3,-,0.4620,0.0000,2,-,0.5010,0.1440
train,ENSG00000173011,ENSMMUG00000049270,chr4,+,0.4840,0.0000,5,-,0.7310,0.1600
test,ENSG00000172889,ENSMMUG00000026981,chr9,+,0.6020,0.0000,15,-,0.6550,0.0540
train,ENSG00000090975,ENSMMUG00000015931,chr12,-,0.6640,0.0000,11,-,0.4870,0.0680
test,ENSG00000155970,ENSMMUG00000017992,chr8,+,0.5180,0.0000,8,+,0.5390,0.0910
train,ENSG00000284368,ENSMMUG00000038026,chr17,-,0.4190,0.0000,16,-,0.4210,0.0700
train,ENSG00000110723,ENSMMUG00000000797,chr11,-,0.4080,0.0000,14,-,0.4160,0.1390
train,ENSG00000128298,ENSMMUG00000002699,chr22,-,0.6240,0.0000,10,+,0.6240,0.0640
train,ENSG00000134249,ENSMMUG00000017482,chr1,-,0.4800,0.0000,1,+,0.5190,0.0490
train,ENSG00000149922,ENSMMUG00000000981,chr16,-,0.6280,0.0000,20,+,0.6240,0.0770
train,ENSG00000204371,ENSMMUG00000011679,chr6,-,0.5090,0.0000,4,+,0.5180,0.0520
train,ENSG00000110048,ENSMMUG00000001745,chr11,-,0.5430,0.0000,14,+,0.5440,0.0070
train,ENSG00000200398,ENSMMUG00000063567,chr15,+,0.5870,0.0000,7,-,0.5860,0.0000
train,ENSG00000200013,ENSMMUG00000028044,chr17,-,0.3730,0.0000,16,-,0.3750,0.0400
train,ENSG00000166484,ENSMMUG00000008536,chr17,+,0.4040,0.0000,16,+,0.6160,0.0710
train,ENSG00000178498,ENSMMUG00000001180,chr12,+,0.5080,0.0000,11,+,0.4320,0.0740
train,ENSG00000159189,ENSMMUG00000020756,chr1,+,0.6160,0.0000,1,-,0.6180,0.0070
train,ENSG00000212907,ENSMMUG00000065379,chrM,+,0.4090,0.0000,MT,+,0.4160,0.0000
train,ENSG00000143147,ENSMMUG00000010395,chr1,-,0.3850,0.0000,1,-,0.4300,0.1840
train,ENSG00000132670,ENSMMUG00000005878,chr20,+,0.6370,0.0000,10,-,0.6350,0.0460
train,ENSG00000068323,ENSMMUG00000023494,chrX,-,0.5590,0.0000,X,-,0.5520,0.1660
train,ENSG00000069956,ENSMMUG00000029652,chr15,+,0.4200,0.0000,7,+,0.5600,0.1350
val,ENSG00000165731,ENSMMUG00000015400,chr10,+,0.6730,0.0000,9,+,0.6550,0.1560
train,ENSG00000207395,ENSMMUG00000058545,chr15,+,0.3460,0.0000,7,+,0.3370,0.0820
train,ENSG00000180638,ENSMMUG00000014134,chr17,-,0.5630,0.0000,16,-,0.6220,0.0740
train,ENSG00000213445,ENSMMUG00000007416,chr11,+,0.5610,0.0000,14,-,0.6100,0.1340
train,ENSG00000121988,ENSMMUG00000000765,chr2,-,0.6400,0.0000,12,-,0.5840,0.0630
train,ENSG00000184232,ENSMMUG00000012249,chr11,+,0.5780,0.0000,14,+,0.5670,0.1420
train,ENSG00000168003,ENSMMUG00000020354,chr11,+,0.4780,0.0000,14,-,0.4810,0.0000
train,ENSG00000133119,ENSMMUG00000003371,chr13,+,0.3760,0.0000,17,+,0.3840,0.1220
train,ENSG00000185974,ENSMMUG00000007427,chr13,+,0.5680,0.0000,17,+,0.5810,0.1690
train,ENSG00000044090,ENSMMUG00000002451,chr6,-,0.5010,0.0000,4,+,0.5080,0.0600
train,ENSG00000143156,ENSMMUG00000021079,chr1,-,0.4550,0.0000,1,-,0.4560,0.0070
train,ENSG00000166068,ENSMMUG00000010704,chr15,+,0.7220,0.0000,7,+,0.7480,0.1960
test,ENSG00000147443,ENSMMUG00000023464,chr8,-,0.4500,0.0000,8,-,0.4490,0.1020
val,ENSG00000183128,ENSMMUG00000061162,chr10,-,0.5170,0.0000,9,-,0.7610,0.1990
train,ENSG00000222624,ENSMMUG00000034409,chr1,+,0.3220,0.0000,1,-,0.3280,0.0460
test,ENSG00000187764,ENSMMUG00000008629,chr9,-,0.5910,0.0000,15,-,0.5730,0.1730
train,ENSG00000070018,ENSMMUG00000023317,chr12,-,0.5800,0.0000,11,-,0.6490,0.0700
train,ENSG00000108423,ENSMMUG00000019303,chr17,-,0.6230,0.0000,16,+,0.6200,0.1130
train,ENSG00000284873,ENSMMUG00000053140,chr11,+,0.3810,0.0000,14,-,0.3810,0.0070
train,ENSG00000143303,ENSMMUG00000000038,chr1,+,0.5040,0.0000,1,-,0.5160,0.1850
train,ENSG00000176563,ENSMMUG00000012641,chr17,+,0.5380,0.0000,16,+,0.5690,0.0000
train,ENSG00000113460,ENSMMUG00000038794,chr5,+,0.5750,0.0000,6,+,0.5630,0.1070
train,ENSG00000156976,ENSMMUG00000003702,chr3,+,0.4260,0.0000,2,-,0.4350,0.0590
train,ENSG00000101746,ENSMMUG00000017276,chr18,-,0.4550,0.0000,18,+,0.5980,0.1850
train,ENSG00000217236,ENSMMUG00000023005,chr2,+,0.5610,0.0000,12,+,0.5600,0.0980
train,ENSG00000008083,ENSMMUG00000015362,chr6,+,0.7010,0.0000,4,-,0.6360,0.1040
train,ENSG00000142444,ENSMMUG00000053764,chr19,+,0.6360,0.0000,19,+,0.6390,0.0390
train,ENSG00000238590,ENSMMUG00000060462,chr7,-,0.5200,0.0000,3,-,0.5160,0.0000
test,ENSG00000136932,ENSMMUG00000015654,chr9,-,0.4710,0.0000,15,+,0.4570,0.1350
train,ENSG00000169860,ENSMMUG00000031540,chr3,+,0.5310,0.0000,2,+,0.6810,0.0160
train,ENSG00000185002,ENSMMUG00000017189,chr6,+,0.5760,0.0000,4,+,0.5170,0.0000
test,ENSG00000180053,ENSMMUG00000020863,chr8,-,0.5920,0.0000,8,-,0.6090,0.0000
val,ENSG00000152455,ENSMMUG00000017174,chr10,+,0.6440,0.0000,9,+,0.6430,0.1090
train,ENSG00000101558,ENSMMUG00000062614,chr18,+,0.5540,0.0000,18,+,0.5680,0.0640
train,ENSG00000088926,ENSMMUG00000011634,chr4,+,0.4160,0.0000,5,+,0.3860,0.0620
train,ENSG00000077279,ENSMMUG00000015312,chrX,-,0.3670,0.0000,X,-,0.3630,0.1080
train,ENSG00000188694,ENSMMUG00000055735,chr21,-,0.3750,0.0000,3,+,0.3890,0.0000
test,ENSG00000155975,ENSMMUG00000044812,chr8,+,0.5760,0.0000,8,+,0.6550,0.1290
train,ENSG00000284536,ENSMMUG00000026970,chr13,+,0.3270,0.0000,17,+,0.3330,0.0380
train,ENSG00000102531,ENSMMUG00000023756,chr13,+,0.5350,0.0000,17,+,0.4960,0.0230
train,ENSG00000207013,ENSMMUG00000028440,chr5,-,0.3230,0.0000,6,-,0.3100,0.0730
train,ENSG00000168496,ENSMMUG00000006657,chr11,+,0.5680,0.0000,14,-,0.5560,0.0640
train,ENSG00000112562,ENSMMUG00000014474,chr6,+,0.6030,0.0000,4,-,0.5230,0.0380
train,ENSG00000175329,ENSMMUG00000061326,chr22,+,0.5050,0.0000,10,-,0.5250,0.1100
train,ENSG00000175785,ENSMMUG00000042148,chr14,-,0.7030,0.0000,7,-,0.6590,0.1420
train,ENSG00000152147,ENSMMUG00000009174,chr2,+,0.6160,0.0000,13,-,0.4670,0.0150
train,ENSG00000199047,ENSMMUG00000026873,chr5,+,0.6020,0.0000,6,+,0.6060,0.1490
test,ENSG00000164919,ENSMMUG00000000165,chr8,-,0.4460,0.0000,8,-,0.4530,0.1790
train,ENSG00000145476,ENSMMUG00000011632,chr4,+,0.6390,0.0000,5,+,0.7320,0.0000
train,ENSG00000188419,ENSMMUG00000016776,chrX,-,0.4290,0.0000,X,-,0.4160,0.0000
train,ENSG00000173548,ENSMMUG00000016106,chr15,+,0.6670,0.0000,7,+,0.6510,0.1080
train,ENSG00000204356,ENSMMUG00000000735,chr6,-,0.5330,0.0000,4,+,0.5410,0.1000
train,ENSG00000152953,ENSMMUG00000016922,chr4,+,0.5910,0.0000,5,-,0.5860,0.1830
train,ENSG00000104055,ENSMMUG00000022256,chr15,-,0.4990,0.0000,7,-,0.5190,0.0070
train,ENSG00000169933,ENSMMUG00000010252,chrX,+,0.4360,0.0000,X,+,0.6740,0.0000
train,ENSG00000129347,ENSMMUG00000011951,chr19,-,0.5490,0.0000,19,-,0.5540,0.0190
train,ENSG00000147262,ENSMMUG00000008388,chrX,-,0.4590,0.0000,X,-,0.4670,0.0000
train,ENSG00000199857,ENSMMUG00000026786,chr4,+,0.4030,0.0000,5,-,0.4010,0.0360
train,ENSG00000141744,ENSMMUG00000062416,chr17,+,0.6860,0.0000,16,+,0.7060,0.1760
val,ENSG00000166348,ENSMMUG00000001821,chr10,-,0.5100,0.0000,9,+,0.3880,0.0570
train,ENSG00000154957,ENSMMUG00000018541,chr17,-,0.5380,0.0000,16,-,0.5440,0.1820
train,ENSG00000133105,ENSMMUG00000003898,chr13,+,0.3090,0.0000,17,+,0.3020,0.0430
train,ENSG00000162009,ENSMMUG00000002896,chr16,+,0.6640,0.0000,20,+,0.6790,0.1080
train,ENSG00000204335,ENSMMUG00000002690,chr2,+,0.5990,0.0000,12,+,0.6070,0.1040
train,ENSG00000112715,ENSMMUG00000004577,chr6,+,0.6260,0.0000,4,-,0.6330,0.0950
val,ENSG00000075891,ENSMMUG00000009163,chr10,+,0.5660,0.0000,9,+,0.6380,0.1950
train,ENSG00000188559,ENSMMUG00000018371,chr20,-,0.5970,0.0000,10,+,0.5010,0.1680
train,ENSG00000171495,ENSMMUG00000004774,chr5,-,0.4070,0.0000,6,-,0.4170,0.0830
train,ENSG00000092208,ENSMMUG00000021028,chr14,+,0.3510,0.0000,7,+,0.3560,0.1730
train,ENSG00000161921,ENSMMUG00000004891,chr17,-,0.5920,0.0000,16,-,0.6230,0.0000
train,ENSG00000213859,ENSMMUG00000039331,chr17,+,0.6950,0.0000,16,+,0.7310,0.0950
train,ENSG00000180346,ENSMMUG00000039305,chr4,+,0.6460,0.0000,5,+,0.6560,0.0630
train,ENSG00000083635,ENSMMUG00000016609,chr13,-,0.5340,0.0000,17,-,0.5320,0.1250
train,ENSG00000162456,ENSMMUG00000044038,chr1,-,0.5920,0.0000,1,+,0.5850,0.0000
train,ENSG00000283567,ENSMMUG00000064682,chr19,-,0.6250,0.0000,19,-,0.6360,0.1270
train,ENSG00000163162,ENSMMUG00000057257,chr2,-,0.4850,0.0000,13,-,0.5360,0.1580
train,ENSG00000138448,ENSMMUG00000019462,chr2,+,0.5080,0.0000,12,+,0.5690,0.1540
train,ENSG00000172262,ENSMMUG00000014251,chr5,+,0.5200,0.0000,6,+,0.5840,0.0930
train,ENSG00000100170,ENSMMUG00000013626,chr22,+,0.5950,0.0000,10,-,0.5510,0.1350
test,ENSG00000155875,ENSMMUG00000018394,chr9,-,0.5910,0.0000,15,+,0.5520,0.1730
