fold,human_gene,target_gene,h_chrom,h_strand,h_gc,h_rep,t_chrom,t_strand,t_gc,t_rep
train,ENSG00000207075,ENSMMUG00000026217,chr4,-,0.4030,0.0000,5,-,0.4120,0.0000
train,ENSG00000154174,ENSMMUG00000020025,chr3,-,0.5380,0.0000,2,+,0.4500,0.1480
train,ENSG00000101361,ENSMMUG00000013888,chr20,+,0.5810,0.0000,10,-,0.6070,0.1250
train,ENSG00000164007,ENSMMUG00000057076,chr1,-,0.6050,0.0000,1,+,0.6310,0.0270
train,ENSG00000143198,ENSMMUG00000015948,chr1,+,0.5890,0.0000,1,+,0.5970,0.0510
train,ENSG00000147113,ENSMMUG00000041157,chrX,-,0.5230,0.0000,X,-,0.5230,0.0000
train,ENSG00000100926,ENSMMUG00000012493,chr14,-,0.5650,0.0000,7,-,0.4790,0.0000
train,ENSG00000164690,ENSMMUG00000062128,chr7,-,0.5080,0.0000,3,-,0.5090,0.0500
test,ENSG00000204612,ENSMMUG00000021769,chr9,+,0.6400,0.0000,15,+,0.6440,0.0000
train,ENSG00000171596,ENSMMUG00000039169,chr2,-,0.6300,0.0000,12,-,0.6380,0.0490
train,ENSG00000091483,ENSMMUG00000005667,chr1,-,0.3450,0.0000,1,+,0.3620,0.1070
val,ENSG00000122859,ENSMMUG00000008956,chr10,-,0.5850,0.0000,9,+,0.6110,0.1630
train,ENSG00000163736,ENSMMUG00000042371,chr4,-,0.3440,0.0000,5,+,0.3250,0.1690
train,ENSG00000164508,ENSMMUG00000039988,chr6,-,0.4850,0.0000,4,+,0.4570,0.1340
train,ENSG00000186283,ENSMMUG00000006261,chr1,+,0.5440,0.0000,1,+,0.5350,0.0000
train,ENSG00000172269,ENSMMUG00000014872,chr11,-,0.5290,0.0000,14,-,0.5070,0.0800
train,ENSG00000271798,ENSMMUG00000026454,chr20,+,0.5100,0.0000,10,-,0.4970,0.0070
train,ENSG00000132952,ENSMMUG00000007597,chr13,+,0.5360,0.0000,17,+,0.6100,0.0000
train,ENSG00000113211,ENSMMUG00000062723,chr5,+,0.3510,0.0000,6,+,0.3650,0.0000
train,ENSG00000169991,ENSMMUG00000004754,chr1,-,0.6810,0.0000,1,+,0.6790,0.0110
test,ENSG00000159167,ENSMMUG00000046186,chr8,-,0.4170,0.0000,8,-,0.4120,0.0950
train,ENSG00000273604,ENSMMUG00000013378,chr17,-,0.5220,0.0000,16,-,0.6060,0.1050
train,ENSG00000206693,ENSMMUG00000024169,chrX,+,0.5260,0.0000,X,+,0.5220,0.0000
test,ENSG00000106993,ENSMMUG00000000141,chr9,+,0.4410,0.0000,15,-,0.4540,0.1620
train,ENSG00000160145,ENSMMUG00000003851,chr3,+,0.6630,0.0000,2,-,0.7350,0.1980
train,ENSG00000184983,ENSMMUG00000013060,chr22,-,0.5610,0.0000,10,+,0.6090,0.1120
val,ENSG00000187122,ENSMMUG00000010428,chr10,-,0.6060,0.0000,9,-,0.6710,0.1630
train,ENSG00000206974,ENSMMUG00000053826,chr6,+,0.3160,0.0000,4,+,0.3140,0.0100
train,ENSG00000070444,ENSMMUG00000022004,chr17,-,0.6690,0.0000,16,-,0.6640,0.0610
test,ENSG00000207698,ENSMMUG00000027124,chr9,-,0.3400,0.0000,15,+,0.3400,0.0160
train,ENSG00000277846,ENSMMUG00000026160,chr11,-,0.3980,0.0000,14,+,0.3910,0.0280
val,ENSG00000057608,ENSMMUG00000013182,chr10,-,0.5000,0.0000,9,-,0.5880,0.0270
train,ENSG00000164185,ENSMMUG00000021006,chr5,+,0.4480,0.0000,6,+,0.3780,0.0510
test,ENSG00000086061,ENSMMUG00000007740,chr9,+,0.5760,0.0000,15,-,0.5630,0.0950
train,ENSG00000057294,ENSMMUG00000000595,chr12,-,0.5830,0.0000,11,-,0.5960,0.1850
train,ENSG00000167842,ENSMMUG00000046195,chr17,+,0.5430,0.0000,16,+,0.5900,0.0100
train,ENSG00000165966,ENSMMUG00000002641,chr12,+,0.4760,0.0000,11,+,0.4970,0.0820
train,ENSG00000065057,ENSMMUG00000002807,chr16,-,0.6320,0.0000,20,-,0.6510,0.0000
train,ENSG00000196228,ENSMMUG00000002589,chr2,+,0.4300,0.0000,13,+,0.5240,0.1110
train,ENSG00000181541,ENSMMUG00000039441,chr4,+,0.4400,0.0000,5,+,0.3780,0.0590
train,ENSG00000207174,ENSMMUG00000053417,chr15,+,0.5050,0.0000,7,-,0.5050,0.0000
train,ENSG00000151353,ENSMMUG00000042598,chr2,-,0.4430,0.0000,13,+,0.4430,0.0850
train,ENSG00000145982,ENSMMUG00000016352,chr6,+,0.5860,0.0000,4,-,0.5680,0.0840
train,ENSG00000181544,ENSMMUG00000017839,chrX,-,0.5540,0.0000,X,-,0.5680,0.0070
train,ENSG00000100485,ENSMMUG00000007464,chr14,-,0.6120,0.0000,7,-,0.6980,0.1450
test,ENSG00000165272,ENSMMUG00000003314,chr9,-,0.6040,0.0000,15,+,0.6010,0.1380
train,ENSG00000203485,ENSMMUG00000016552,chr14,+,0.6350,0.0000,7,+,0.6880,0.0670
train,ENSG00000152684,ENSMMUG00000039101,chr5,+,0.4900,0.0000,6,+,0.4870,0.0420
train,ENSG00000138443,ENSMMUG00000000312,chr2,+,0.5180,0.0000,12,+,0.5200,0.1700
train,ENSG00000204256,ENSMMUG00000023138,chr6,+,0.5550,0.0000,4,-,0.6510,0.0230
train,ENSG00000105737,ENSMMUG00000017431,chr19,-,0.5820,0.0000,19,-,0.5760,0.1720
test,ENSG00000184672,ENSMMUG00000007115,chr8,+,0.4990,0.0000,8,+,0.5340,0.0870
train,ENSG00000143179,ENSMMUG00000053859,chr1,+,0.4780,0.0000,1,+,0.5580,0.1360
train,ENSG00000198712,ENSMMUG00000065380,chrM,+,0.4220,0.0000,MT,+,0.4240,0.0000
train,ENSG00000206754,ENSMMUG00000024902,chr6,+,0.5440,0.0000,4,+,0.5400,0.0000
train,ENSG00000169194,ENSMMUG00000003131,chr5,+,0.5880,0.0000,6,+,0.5010,0.1500
train,ENSG00000198934,ENSMMUG00000049351,chrX,+,0.4410,0.0000,X,+,0.4750,0.0290
train,ENSG00000168530,ENSMMUG00000010519,chr2,-,0.3720,0.0000,12,-,0.3780,0.0520
train,ENSG00000241128,ENSMMUG00000059455,chr1,-,0.3200,0.0000,1,+,0.3020,0.1110
val,ENSG00000185745,ENSMMUG00000017533,chr10,+,0.4390,0.0000,9,+,0.4060,0.0000
train,ENSG00000134443,ENSMMUG00000007584,chr18,+,0.5780,0.0000,18,-,0.5800,0.1550
train,ENSG00000139800,ENSMMUG00000014821,chr13,-,0.5660,0.0000,17,-,0.5630,0.0000
train,ENSG00000156603,ENSMMUG00000002562,chr11,-,0.5020,0.0000,14,+,0.5010,0.1060
train,ENSG00000174358,ENSMMUG00000010935,chr5,+,0.6570,0.0000,6,+,0.6550,0.0000
train,ENSG00000114446,ENSMMUG00000008786,chr3,-,0.4450,0.0000,2,+,0.4600,0.0070
train,ENSG00000172115,ENSMMUG00000051205,chr7,-,0.5060,0.0000,3,+,0.5500,0.0000
train,ENSG00000182223,ENSMMUG00000006704,chr4,+,0.4990,0.0000,5,+,0.4040,0.0590
train,ENSG00000125831,ENSMMUG00000022393,chr20,-,0.5750,0.0000,10,+,0.5700,0.1130
train,ENSG00000129675,ENSMMUG00000013768,chrX,-,0.4290,0.0000,X,-,0.4420,0.0440
train,ENSG00000134595,ENSMMUG00000013179,chrX,-,0.6130,0.0000,X,-,0.6230,0.0710
train,ENSG00000124818,ENSMMUG00000013751,chr6,+,0.3400,0.0000,4,-,0.4170,0.1770
